Lemma,Features,Form_minus/Correct,Form_plus/Wrong,Difference,Diff_minus,Diff_plus,Error Analysis
sakso,"N;ACC(PL;PSS(1,PL))",saksolarımızı,sakso,Identical,Identical,Identical,
sakso,"N;ACC(SG;PSS(2,SG))",saksonu,sakso,Identical,Identical,Identical,
sakso,"N;DAT(PL;PSS(3,SG))",saksolarına,sakso,Identical,Identical,Identical,
sakso,"N;GEN(SG;PSS(2,SG))",saksonun,sakso,Identical,Identical,Identical,
sakso,N;LOC(PL),saksolarda,sakso,Identical,Identical,Identical,
sakso,"N;LOC(PL;PSS(2,PL))",saksolarınızda,sakso,Identical,Identical,Identical,
sakso,"N;LOC(SG;PSS(2,SG))",saksonda,sakso,Identical,Identical,Identical,
sakso,"N;NOM(SG;PSS(2,PL))",saksonuz,sakso,Identical,Identical,Identical,
silgi,N;ACC(PL),silgileri,silgerini,iler vs erin,iler,erin,
silgi,"N;PL;IND;PST;NOM(3,SG)",silgilerdi,silgi,Identical,Identical,Identical,
siyasetçi,N;ACC(PL),siyasetçileri,siyasetçerini,iler vs erin,iler,erin,
sözdizimsel tuz,N;ACC(PL),sözdizimsel tuzları,sözdizimsel tuzleri,arı vs eri,arı,eri,
sözdizimsel tuz,N;GEN(PL),sözdizimsel tuzların,sözdizimsel tuzlerin,arı vs eri,arı,eri,
sözdizimsel tuz,N;GEN(SG),sözdizimsel tuzun,sözdizimsel tuzin,u vs i,u,i,
sözdizimsel tuz,N;LOC(PL),sözdizimsel tuzlarda,sözdizimsel tuzlerde,arda vs erde,arda,erde,
sözdizimsel tuz,N;NOM(PL),sözdizimsel tuzlar,sözdizimsel tuzler,a vs e,a,e,
sıvı,N;ABL(PL),sıvılardan,sıvarından,ılar vs arın,ılar,arın,
sıvı,N;ABL(SG),sıvıdan,sıvından,vs n,,n,
sıvı,N;ACC(PL),sıvıları,sıvarını,ılar vs arın,ılar,arın,
sıvı,N;ACC(SG),sıvıyı,sıvını,y vs n,y,n,
sıvı,N;DAT(PL),sıvılara,sıvarına,ılar vs arın,ılar,arın,
sıvı,N;DAT(SG),sıvıya,sıvına,y vs n,y,n,
sıvı,N;GEN(PL),sıvıların,sıvarının,ılar vs arın,ılar,arın,
sıvı,N;LOC(PL),sıvılarda,sıvarında,ılar vs arın,ılar,arın,
sıvı,N;LOC(SG),sıvıda,sıvında,vs n,,n,
sıvı,N;NOM(PL),sıvılar,sıvarı,ılar vs arı,ılar,arı,
tatbik,"N;ABL(SG;PSS(2,SG))",tatbikinden,tatbiğinden,k vs ğ,k,ğ,
tatbik,N;ACC(SG),tatbiki,tatbiği,k vs ğ,k,ğ,
tatbik,"N;ACC(SG;PSS(2,PL))",tatbikinizi,tatbiğinizi,k vs ğ,k,ğ,
tatbik,"N;DAT(SG;PSS(1,PL))",tatbikimize,tatbiğimize,k vs ğ,k,ğ,
tatbik,"N;DAT(SG;PSS(3,SG))",tatbikine,tatbiğine,k vs ğ,k,ğ,
tatbik,N;GEN(SG),tatbikin,tatbiğin,k vs ğ,k,ğ,
tatbik,"N;LOC(SG;PSS(1,PL))",tatbikimizde,tatbiğimizde,k vs ğ,k,ğ,
tatbik,"N;LOC(SG;PSS(3,SG))",tatbikinde,tatbiğinde,k vs ğ,k,ğ,
tatbik,"N;NOM(SG;PSS(1,PL))",tatbikimiz,tatbiğimiz,k vs ğ,k,ğ,
tütü,"N;ABL(PL;PSS(1,PL))",tütülerimizden,tütün,lerimizde vs,lerimizde,,
tütü,"N;ABL(PL;PSS(3,SG))",tütülerinden,tütün,lerinde vs,lerinde,,
tütü,N;ACC(PL),tütüleri,tütlerini,üler vs lerin,üler,lerin,
tütü,"N;ACC(PL;PSS(2,PL))",tütülerinizi,tütü,Identical,Identical,Identical,
tütü,"N;ACC(SG;PSS(1,PL))",tütümüzü,tütü,Identical,Identical,Identical,
tütü,N;DAT(PL),tütülere,tütlerine,üler vs lerin,üler,lerin,
tütü,"N;DAT(SG;PSS(2,PL))",tütünüze,tütü,Identical,Identical,Identical,
tütü,N;GEN(PL),tütülerin,tütlerinin,üler vs lerin,üler,lerin,
tütü,"N;GEN(SG;PSS(2,SG))",tütünün,tütü,Identical,Identical,Identical,
tütü,N;NOM(PL),tütüler,tütleri,üler vs leri,üler,leri,
tütü,"N;NOM(PL;PSS(2,SG))",tütülerin,tütün,leri vs,leri,,
tütü,"N;NOM(PL;PSS(3,SG))",tütüleri,tütü,Identical,Identical,Identical,
zavar,"N;ABL(PL;PSS(2,SG))",zavarlarından,zavarlerinden,arında vs erinde,arında,erinde,
zavar,"N;ABL(SG;PSS(2,SG))",zavarından,zavarinden,ında vs inde,ında,inde,
zavar,"N;ACC(PL;PSS(2,SG))",zavarlarını,zavarlerini,arını vs erini,arını,erini,
zavar,"N;ACC(PL;PSS(3,SG))",zavarlarını,zavarlerini,arını vs erini,arını,erini,
zavar,"N;ACC(SG;PSS(2,SG))",zavarını,zavarünü,ını vs ünü,ını,ünü,
zavar,"N;ACC(SG;PSS(3,SG))",zavarını,zavarini,ını vs ini,ını,ini,
zavar,N;DAT(PL),zavarlara,zavar,Identical,Identical,Identical,
zavar,"N;DAT(PL;PSS(2,SG))",zavarlarına,zavarlerine,arına vs erine,arına,erine,
zavar,"N;GEN(PL;PSS(1,PL))",zavarlarımızın,zavarlerimizin,arımızı vs erimizi,arımızı,erimizi,
zavar,N;LOC(PL),zavarlarda,zavarlerde,arda vs erde,arda,erde,
zavar,"N;LOC(PL;PSS(2,SG))",zavarlarında,zavarlerinde,arında vs erinde,arında,erinde,
zavar,"N;NOM(PL;PSS(2,PL))",zavarlarınız,zavarleriniz,arını vs erini,arını,erini,
çarşaf,N;ABL(PL),çarşaflardan,çarşaflerden,arda vs erde,arda,erde,
çarşaf,"N;ABL(PL;PSS(1,PL))",çarşaflarımızdan,çarşafn,larımızda vs,larımızda,,
çarşaf,"N;ABL(PL;PSS(2,SG))",çarşaflarından,çarşafn,larında vs,larında,,
çarşaf,"N;ABL(SG;PSS(3,SG))",çarşafından,çarşafn,ında vs,ında,,
çarşaf,"N;DAT(PL;PSS(2,PL))",çarşaflarınıza,çarşaf,Identical,Identical,Identical,
çarşaf,"N;DAT(PL;PSS(2,SG))",çarşaflarına,çarşaf,Identical,Identical,Identical,
çarşaf,"N;DAT(SG;PSS(2,PL))",çarşafınıza,çarşaf,Identical,Identical,Identical,
çarşaf,"N;DAT(SG;PSS(3,SG))",çarşafına,çarşaf,Identical,Identical,Identical,
çarşaf,"N;GEN(PL;PSS(1,PL))",çarşaflarımızın,çarşafn,larımızı vs,larımızı,,
çarşaf,N;LOC(SG),çarşafta,çarşafte,a vs e,a,e,
çarşaf,"N;LOC(SG;PSS(3,SG))",çarşafında,çarşaf,Identical,Identical,Identical,
çarşaf,"N;NOM(PL;PSS(2,PL))",çarşaflarınız,çarşafz,larını vs,larını,,
şeftali,N;ACC(PL),şeftalileri,şeftalerini,iler vs erin,iler,erin,
